20MICRONS,20 Microns Limited,BE,06--OCT--2008,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,EQ,03--MAY--1995,10,1,INE253B01015,10
360ONE,360 ONE WAM LIMITED,EQ,19--SEP--2019,1,1,INE466L01038,1
3IINFOLTD,3i Infotech Limited,EQ,22--OCT--2021,10,1,INE748C01038,10
3MINDIA,3M India Limited,EQ,13--AUG--2004,10,1,INE470A01017,10
3PLAND,3P Land Holdings Limited,BE,19--JUL--1995,2,1,INE105C01023,2
5PAISA,5Paisa Capital Limited,EQ,16--NOV--2017,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20--JUN--2005,2,1,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23--DEC--2010,10,1,INE619I01012,10
